Designator,Footprint,Manufacturer P/N,Quantity,Value,LCSC P/N,Digi-Key P/N,Mouser P/N
"C101, C102, C103, C104, C105, C106, C107, C202, C312",603,CC0603KRX7R9BB104,9,100nF,C14663,311-1344-1-ND,603-CC603KRX7R9BB104
"C111, C209, C211, C215",603,CL10C120JB8NNNC,4,12pF,C38523,445-14057-1-ND,187-CL10C120JB8NNNC
"C114, C201, C207, C210, C320, C322",805,CL21A106KAYNNNE,6,10uF,C15850,1276-2891-1-ND,187-CL21A106KAYNNNE
"C203, C204, C205, C206",CP_Elec_6.3x7.7,RVT220UF16V67RV0015,4,220uF,C2887273,732-8422-1-ND,710-865080345012
C217,Radial through-hole D10.0mm by P5.00mm,UVY1C102MPD1TD,1,1000uF,N/A,493-14736-1-ND,647-UVY1C102MPD1TD
CON401,FCI 10067847-001 or SD-111,SD-111,1,SD Card Socket,C410353,609-3956-2-ND,649-10067847-001RLF
"D201, D202, D203, D204, D205",SOD-123,B5819W SL,5,D_Schottky,C8598,SM5819PL-TPMSCT-ND,833-SM5819PL-TP
D302,805,SZYY0805YG,1,LED,C434435,350-2044-1-ND ,645-598-8170-107F
F202,1206,JK-nSMD050-24,1,500mA Hold PTC,C369160,507-1802-1-ND,530-0ZCJ0050FF2G
J101,Optional DSUB-25 Female,D25S33E4PA00LF,1,N/A,N/A,609-5879-ND,649-D25S33E4PA00LF
J301,Optional USB-A,Molex 105057,1,N/A,N/A,WM8672-ND,538-105057-0001
J304,2-pin 2.54mm Pin Header,Generic,1,Optional External LED header,N/A,952-2262-ND,855-M20-9990246
JP201,2-pin 2.54mm Pin Header,Generic,0,Optional Back Feed Jumper,N/A,952-2262-ND,855-M20-9990246
"L101, L102, L103, L104, L105, L106, L107, L108, L109, L110, L111, L112, L113, L114, L115, L116, L117, L118, L202, L301",603,GZ1608D601TF,20,450mΩ ±25% 600Ω@100MHz,C1002,3442-GZ1608D601TFCT-ND,815-ACML-0603H-601
L201,1008,LQM2HPN2R2MG0L,1,2.2uH,C86092,490-5114-1-ND,81-LQM2HPN2R2MG0L
LS301,Optional Piezo Buzzer,TDK PS1240P02BT,1,N/A,C76871,445-2525-1-ND ,810-PS1240P02BT
P1,50-pin right angle IDC (SCSI),Z-231012050106,1,2X25 right angle box header,C221060,3M157291-ND,30350-5002HB
P201,Optional Floppy power connector,171826-4,1,Floppy-style BERG/LP4,C590635,A112643-ND,571-1718264
P301,Optional USB Micro-B,10118194-0001LF,1,Micro USB OTG (optional),C132563,609-4618-1-ND,649-10118194-0001LF
"R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119",603,0603WAF1100T5E,19,110,C22781,311-4.70KHRCT-ND,603-RC0603FR-074K7L
"R122, R123, R124, R125, R301, R321, R322, R323",603,0603WAF1001T5E,8,1k,C21190,13-AC0603FR-131KLCT-ND ,603-AC0603FR-131KL
"R126, R127, R128, R129, R205, R311, R312, R313, R314, R315, R316, R317, R318",603,0603WAF4701T5E,13,4k7,C23162,311-4.70KHRCT-ND,603-RC0603FR-074K7L
R201,603,0603WAF5103T5E,1,510k,C23192,311-510KHRCT-ND,603-RC0603FR-07510KL
"R202, R203",603,0603WAF1003T5E,2,100k,C25803,311-100KHRCT-ND ,603-RC0603FR-07100KL
"R304, R305, R306",603,0603WAJ0620T5E,3,62,C25252,311-62.0HRCT-ND,603-RC0603FR-0762RL
R320,402,N/A,0,None (DNP),N/A,N/A,N/A
SW1,"DIP slide switch, SPSTx03",DSIC03LS-P,1,SW_DIP_x03,C319040,CT2043ST-ND,774-2043ST
U1,"Raspberry Pi Pico (Pico, Pico H, or Pico W)",Pico,1,,N/A,N/A,N/A
"U101, U102, U103",SSOP or TSSOP,SN74LVTH125PWR,3,74LVT125,C7042,296-8660-1-ND,595-SN74LVTH125PWR
"U105, U106, U107, U108",SSOP or TSSOP,SN74LVTH245APWR,4,74LVT245,C7057,296-48966-1-ND,595-SN74LVTH245APWR
U201,TSOT-23-5,LM3674MFX-ADJ/NOPB,1,LM3674-ADJ,C882787,296-43049-1-ND,926-LM3674MFXADJNOPB
